"rssilog_id","rssilog_rssi","rssilog_antenna","rssilog_timestamp2","session_sso"
18652148,-43,5,"43000",178
18652003,-44,5,"6000",178
18651991,-56,5,"8000",178
18651969,-52,5,"6000",178
18651954,-49,5,"5000",178
18651936,-30,5,"14000",178
18651898,-24,5,"9000",178
18651867,-44,5,"5000",178
18651849,-40,5,"71000",178
18651614,-62,5,"36000",178
18651502,-46,5,"8000",178
18651480,-43,5,"5000",178
18651470,-52,5,"7000",178
18651443,-26,5,"7000",178
18651430,-22,5,"5000",178
18651417,-48,5,"314000",178
18650662,-50,5,"6000",178
18650644,-56,5,"8000",178
18650621,-70,5,"44000",178
18650523,-46,5,"5000",178
18650511,-48,5,"5000",178
18650498,-46,5,"88741000",178
18405507,-84,5,"25000",178
18405411,-48,5,"6000",178
18405394,-26,5,"7000",178
18405372,-42,5,"5000",178
18405362,-53,5,"7000",178
18405349,-46,5,"8000",178
18405324,-78,5,"17000",178
18405277,-75,5,"18000",178
18405227,-64,5,"12000",178
18405180,-64,5,"12000",178
18405131,-49,5,"9000",178
18405098,-43,5,"31000",178
18404932,-22,5,"5000",178
18404899,-44,5,"6000",178
18404871,-58,5,"9000",178
18404821,-27,5,"10000",178
18404775,-62,5,"10000",178
18404742,-28,5,"10000",178
18404690,-30,5,"13000",178
18404641,-63,5,"14000",178
18404587,-50,5,"171000",178
18404154,-25,5,"7000",178
18404134,-22,5,"32000",178
18404061,-38,5,"4000",178
18404055,-50,5,"10000",178
18404043,-58,5,"12000",178
18404020,-52,5,"14000",178
18403995,-46,5,"10000",178
18403973,-40,5,"5000",178
18403957,-58,5,"41000",178
18403867,-26,5,"10000",178
18403845,-41,5,"6000",178
18403834,-50,5,"7000",178
18403811,-23,5,"9000",178
18403796,-44,5,"4000",178
18403785,-57,5,"13000",178
18403748,-45,5,"2305000",178
18395157,-62,5,"18000",178
18395057,-41,5,"0",178
18395056,-36,5,"8000",178
18395007,-40,5,"0",178
18395006,-43,5,"8000",178
18394957,-40,5,"0",178
18394955,-54,5,"7000",178
18394909,-28,5,"0",178
18394908,-54,5,"53000",178
18394558,-41,5,"6000",178
18394524,-55,5,"9000",178
18394473,-46,5,"236000",178
18393239,-58,4,"10000",178
18393182,-52,4,"48000",178
18392958,-51,3,"0",178
18392957,-50,4,"0",178
18392956,-22,8,"0",178
