rssilog_id , rssilog_rssi , rssilog_antenna ,     rssilog_timestamp2     , session_sso 
18651470,-104, 11.0.0.24       , 2016-01-27 19:31:28.422337 ,178
18651443,-52, 11.0.0.24       , 2016-01-27 19:31:21.428874 ,178
18651430,-44, 11.0.0.24       , 2016-01-27 19:31:14.637859 ,178
18651417,-95, 11.0.0.24       , 2016-01-27 19:31:09.442342 ,178
18651400,0, 11.0.0.24       , 2016-01-27 19:31:04.290155 ,178
18651215,0, 11.0.0.24       , 2016-01-27 19:29:52.221114 ,178
18651121,0, 11.0.0.24       , 2016-01-27 19:29:08.930826 ,178
18650662,-101, 11.0.0.24       , 2016-01-27 19:25:55.710679 ,178
18650644,-112, 11.0.0.24       , 2016-01-27 19:25:49.121889 ,178
18650621,-140, 11.0.0.24       , 2016-01-27 19:25:41.661767 ,178
18650577,0, 11.0.0.24       , 2016-01-27 19:25:25.841055 ,178
18650523,-92, 11.0.0.24       , 2016-01-27 19:24:57.646642 ,178
18650511,-95, 11.0.0.24       , 2016-01-27 19:24:52.646079 ,178
18650498,-91, 11.0.0.24       , 2016-01-27 19:24:47.124646 ,178
18406190,0, 11.0.0.24       , 2016-01-26 18:48:53.640663 ,178
18405507,-168, 11.0.0.24       , 2016-01-26 18:45:46.260283 ,178
18405411,-96, 11.0.0.24       , 2016-01-26 18:45:21.431648 ,178
18405394,-51, 11.0.0.24       , 2016-01-26 18:45:15.52346  ,178
18405372,-84, 11.0.0.24       , 2016-01-26 18:45:08.673912 ,178
18405362,-106, 11.0.0.24       , 2016-01-26 18:45:03.678859 ,178
18405349,-93, 11.0.0.24       , 2016-01-26 18:44:56.099111 ,178
18405324,-155, 11.0.0.24       , 2016-01-26 18:44:48.159268 ,178
18405277,-150, 11.0.0.24       , 2016-01-26 18:44:31.154132 ,178
18405227,-129, 11.0.0.24       , 2016-01-26 18:44:13.559182 ,178
18405180,-129, 11.0.0.24       , 2016-01-26 18:44:01.156542 ,178
18405131,-98, 11.0.0.24       , 2016-01-26 18:43:49.528654 ,178
18405098,-86, 11.0.0.24       , 2016-01-26 18:43:40.589117 ,178
18405076,0, 11.0.0.24       , 2016-01-26 18:43:35.704837 ,178
18404932,-43, 11.0.0.24       , 2016-01-26 18:43:09.98652  ,178
18404899,-88, 11.0.0.24       , 2016-01-26 18:43:04.333452 ,178
18404871,-117, 11.0.0.24       , 2016-01-26 18:42:58.82112  ,178
18404821,-54, 11.0.0.24       , 2016-01-26 18:42:49.30913  ,178
18404775,-123, 11.0.0.24       , 2016-01-26 18:42:39.307968 ,178
18404742,-55, 11.0.0.24       , 2016-01-26 18:42:29.369005 ,178
18404690,-60, 11.0.0.24       , 2016-01-26 18:42:19.149503 ,178
18404641,-126, 11.0.0.24       , 2016-01-26 18:42:06.030138 ,178
18404587,-101, 11.0.0.24       , 2016-01-26 18:41:52.224167 ,178
18404570,0, 11.0.0.24       , 2016-01-26 18:41:47.231195 ,178
